english,Native
Colours,အရောင်များ
What colour is this?,ဒါကဘာအရောင်လဲ။
Red,အနီရောင်
Blue,အပြာ
Yellow,အဝါရောင်
Green,အစိမ်းရောင်
Orange,လိမ္မော်ရောင်
Pink,ပန်းရောင်
Purple,ခရမ်းရောင်
Brown,အညို
White,အဖြူ
Black,အနက်ရောင်
Animals,တိရစ္ဆာန်များ
What is this animal?,ဒီတိရစ္ဆာန်ကဘာလဲ။
Dog,ခွေး
Cat,ကြောင်
Lion,ခြင်္သေ့
Sparrow,စာငှက်
Rabbit,ယုန်
Pig,ဝက်
Cow,နွားမ
Ox,နွား
Elephant,ဆင်
Horse,မြင်း
Monkey,မျောက်
Bear,ဝက်ဝံ
Giraffe,သစ်ကုလားအုတ်
Food,သိုး
I'll take it.,အစားအသောက်
Salad,သုပ်
Sandwich,အသားညှပ်ပေါင်မုန့်
Hamburger,ဟမ်ဘာဂါ
French fries,အာလူးချောင်းကြော်
Pizza,ပီဇာ
Pasta,ခေါက်ဆွဲ
Bread,မုန့်
cooked rice,ထမင်း
Couscous,Couscous
Pasta,ခေါက်ဆွဲ
Egg,ကြက်ဥ
Cheese,ဒိန်ခဲ
Yogurt,ဒိန်ချဥ်
ham,ဝက်ပေါင်ခြောက်
sausage,ဝက်အူချောင်း
Fish,ငါး
chicken,ကြက်သား
Pig,ဝက်
beef,အမဲသား
Vegetables,အသီးအရွက်
Do you have something you cannot eat,မင်း မစားနိုင်တဲ့ အရာ ရှိလား။
Tomato,ခရမ်းချဉ်သီး
Potato,အာလူး
Carrot,မုန်လာဥနီ
Onion,ကြက်သွန်နီ
Japanese leek,ဂျပန်ကြက်သွန်မြိတ်
Mushroom,မှို
Green pepper,ငရုတ်ပွစိမ်း
Radish,မုန်လာဥ
Legume,ပဲပင်
Cabbage,ဂေါ်ဖီထုပ်
Napa cabbage,Napa ဂေါ်ဖီထုပ်
Spinach,ဟင်းနုနွယ်ရွက်
Lettuce,ဆလတ်ရွက်
Cucumber,သခွားသီး
Pumpkin,ရွှေဖရုံသီး
Broccoli,ဘရိုကိုလီ
Fruits,သစ်သီးများ
What is your favorite fruit?,မင်းအကြိုက်ဆုံးအသီးကဘာလဲ။
Apple,ပန်းသီး
Lemon,သံပယိုသီး
Mango,သရက်သီး
Pomegranate,သလဲသီး
Strawberry,စတော်ဘယ်ရီ
Orange,လိမ္မော်သီး
Pineapple,နာနတ်သီး
Melon,သခွားမသီး
Grapes,စပျစ်သီး
Banana,ငှက်ပျောသီး
Cherry,ချယ်ရီ
Guava,မာလကာ
Watermelon,ဖရဲသီး
Pear,သစ်တော်သီး
Fig,သဖန်းသီး
Kiwi,ကီဝီသီး
Papaya,သင်္ဘောသီး
Coconut,အုန်းသီး
Grapefruit,ဂရိတ်ဖရု
Transportation,မိုဘိုင်း
Where should I go?,ဘယ်သွားရမလဲ
Bus,ဘတ်စ်ကား
Train,ရထား
Car,ကား
Airplane,လေယာဉ်ပျံ
Ship,သင်္ဘော
Boat,လှေ
Submarine,ရေငုပ်သင်္ဘော
Bicycle,စက်ဘီး
Subway,မြေအောက်ရထား
Motorbike,ဆိုင်ကယ်
Helicopter,ရဟတ်ယာဉ်
Taxi,တက္ကစီ
Shopping,ဈေးဝယ်ထွက်
Are you looking for something?,တစ်ခုခု ရှာနေတာလား။
I'm just looking,လိုက်ရှာနေတယ်။
Do you have a larger one,ပိုကြီးတဲ့တစ်ခုခုများရှိပါသလား
Is there anything smaller,ဒီထက်သေးတာရှိသေးလား။
Can I try it on,စမ်းကြည့်လို့ရမလား။
How much is it,ဘယ်လောက်လဲ
Can you discount me?,ငါ့ကိုလျှော့ပေးနိုင်မလား
A little more I think,နည်းနည်းပိုမယ်ထင်တယ်။
Take this,ဒါကို ယူပါ။
Give me a receipt,ပြေစာတစ်ခုပေးပါ။
I'd like to return it.,အဲဒါကို ပြန်ပေးချင်ပါတယ်။
Hotel,ဟိုတယ်
Is there a vacant room?,အခန်းလွတ်ရှိပါသလား။
I have a reservation,ကျွန်တော်ကြိုတင်နေရာယူထားပါတယ်
Single,လူပျို
Double,နှစ်ချက်
Twin,အမွှာ
I will stay for two days.,ငါ နှစ်ရက်နေမယ်။
How much is it overnight,တစ်ညဘယ်လောက်လဲ။
Is breakfast included,မနက်စာပါဝင်ပါသလား
What time is checkout,ငွေရှင်းချိန်က ဘယ်နှနာရီလဲ။
There is no hot water,ရေပူ မရှိပါဘူး
Air conditioner does not attach,လေအေးပေးစက် မတွဲပါဘူး။
The toilet does not flow,အိမ်သာက မစီးဘူး။
I forgot my room key in the room,အခန်းသော့ကို အခန်းထဲမှာ မေ့သွားတယ်။
Can you keep my luggage,ငါ့အထုပ်အပိုးကို သိမ်းထားနိုင်မလား။
Room key,အခန်းသော့
Wifi password,Wifi စကားဝှက်
Cleaning,သန့်ရှင်းရေး
Cleaning service,သန့်ရှင်းရေးဝန်ဆောင်မှု
Iron,သံ
Mineral water,ဓာတ်သတ္တုရေ
Blanket,စောင်
Towel,မျက်နှာသုတ်ပုဝါ
Dryer,လေမှုတ်စက်
Body,ခန္ဓာကိုယ်
Where does it hurt?,ဘယ်နားကနာနေပါလဲ?
Eye,မျက်လုံး
nose,နှာခေါင်း
mouth,ပါးစပ်
face,မျက်နှာ
Head,ဦးခေါင်း
neck,လည်ပင်း
hair,ဆံပင်
ear,နား
tooth,သွား
claw,ခြေသည်း
finger,လက်ညှိုး
hand,လက်
arm,လက်မောင်း
shoulder,ပခုံး
Toes,ခြေချောင်းများ
legs,ခြေထောက်များ
stomach,ဗိုက်
Date,ရက်စွဲ
What day is today?,ဒီနေ့ဘာနေ့ပါလဲ?
Day,နေ့
Today,ဒီနေ့
Yesterday,မနေ့က
Yesterday,မနေ့က
Day after tomorrow,သဘက်ခါ
Tomorrow,မနက်ဖြန်
Year,တစ်နှစ်
Month,လ
Week,အေးလေ
Sunday,တနင်္ဂနွေ
Monday,တနင်္လာနေ့
Tuesday,အင်္ဂါ
Wednesday,ဗုဒ္ဓဟူးနေ့
Thursday,ကြာသပတေးနေ့
Friday,သောကြာ
Saturday,စနေနေ့
The season,ရာသီဥတု
What season do you like?,ဘယ်ရာသီကို ကြိုက်လဲ။
Spring,နွေဦး
Summer,နွေရာသီ
Autumn,ဆောင်းဦး
Winter,ဆောင်းရာသီ
Month,လ
What month were you born?,မင်းဘယ်လမှာမွေးတာလဲ။
When is your birthday?,သင့်မွေးနေ့ဘယ်တော့လဲ?
January,ဇန်နဝါရီလ
February,ဖေဖော်ဝါရီ
March,မတ်လ
April,ဧပြီလ
May,မေ
June,ဇွန်လ
July,ဇူလိုင်လ
August,သြဂုတ်လ
September,စက်တင်ဘာ
October,အောက်တိုဘာလ
November,နိုဝင်ဘာလ
,0
Family,မိသားစု
Who is it?,ဘယ်သူလဲ?
I,ငါ
Father,ဖေဖေ
Mother,မေမေ
,0
Elder brother,အစ်ကိုအကြီး
Elder sister,အစ်မ
Younger brother,ညီအငယ်
Younger sister,ညီမအငယ်
Grandfather,အဖိုး
Grandmother,အဖွား
Son,သားတော်
Daughter,သမီး
Husband,ခင်ပွန်း
Wife,မယား
Directions,ဦးတည်ချက်
Where is the bus stop?,ဘူတာရုံက ဘယ်မှာလဲ။
bus,ဘတ်စ်ကားမှတ်တိုင်က ဘယ်မှာလဲ။
Go straight ahead,ရှေ့တည့်တည့်ကို သွားပါ။
Turn left,လက်ဝဲဘက်ကွေ့ပါ
Turn right,လက်ယာဘက်ကွေ့ပါ
Before,မီ
Behind,နောက်ကွယ်
Next to,ဘေး
Across the street,လမ်းတစ်ဖက်
Corner,ထောင့်
Left,ဝဲ
Right,မှန်တယ်။
Up,တက်
Down,ဆင်းတယ်။
North,မြောက်ဦး
East,အရှေ့
West,အနောက်
The season,ရာသီဥတု
How is the weather?,ရာသီဥတု ဘယ်လိုလဲ။
Sunny,နေသာသည်။
Cloudy,တိမ်ထူတယ်။
Rain,မိုး
Snow,နှင်း
Wind,လေတိုက်သည်။
Fog,မြူနှင်း
Hot,ပူတယ်။
Cold,အေး
Warm,နွေးထွေးတယ်။
Cool,အေးတယ်။
Dry,ခြောက်သွေ့
Hobby,ဝါသနာ
What is your hobby,မင်းရဲ့ဝါသနာကဘာလဲ
To read,ဖတ်ရန်
to cook,ချက်ပြုတ်ရန်
draw a picture,ပုံတစ်ခုဆွဲပါ။
play piano,စန္ဒယားတီးတယ်။
Play a musical instrument,ဂီတတူရိယာတစ်ခုတီးပါ။
sing,သီချင်းဆို
dance,ကခုန်သည်။
Tableware,ပန်းကန်ခွက်ယောက်
,0
Fork,အမဲချိတ်
Knife,ဓား
Spoon,ဇွန်း
Chopsticks,မီးခြစ်
Dish,ပန်းကန်
Vessel,ရေယာဉ်
Glass,ဖန်
Cup,ဖလား
Napkin,လက်သုတ်ပဝါ
Seasoning,ဟင်းခတ်အနှစ်
Could you please take?,ကျေးဇူးပြုပြီး ယူလို့ရမလား။
Salt,ဆားငန်
Pepper,ငရုတ်ကောင်း
Sugar,သကြား
Mayonnaise,Mayonnaise
Ketchup,Ketchup
Mustard,မုန်ညင်း
Oil,ဆီ
Vinegar,ရှလကာရည်
Jam,ယို
Honey,ဟန်နီ
Butter,ထောပတ်
Sport,အားကစား
Are you doing sports?,မင်းအားကစားလုပ်နေတာလား။
Running,ပြေးသည်။
Bicycle,စက်ဘီး
Swimming,ရေကူးတယ်။
Skiings,နှင်းလျှောစီးခြင်း။
Soccer,ဘောလုံး
Basketball,ဘတ်စကက်ဘော
Volleyball,ဘော်လီဘော
Baseball,ဘေ့စ်ဘော
Table tennis,စားပွဲတင်တင်းနစ်
Tennis,တင်းနစ်
Badminton,ကြက်တောင်ရိုက်
Fighting sports,တိုက်ခိုက်ရေးအားကစား
Drink,သောက်ပါ။
What would you like to drink?,သင်ဘာသောက်ချင်ပါသလဲ?
Water,ရေ
Orange juice,လိမ္မော်သီးဖျော်ရည်
Fruit juice,သစ်သီးဖျော်ရည်
Cola,ကိုလာ
Soft drink,အချိုရည်
Beer,ဘီယာ
Wine,ဝိုင်
Tea,လက်ဖက်ရည်
Coffee,ကော်ဖီ
Cocoa,ကိုကိုး
