english,native,image_filename,sort_order,extra_data
I have a reservation,ကျွန်တော်ကြိုတင်နေရာယူထားပါတယ်,i_have_a_reservation.png,1,
Single,လူပျို,single.png,2,
Double,နှစ်ချက်,double.png,3,
Twin,အမွှာ,twin.png,4,
I will stay for two days.,ငါ နှစ်ရက်နေမယ်။,i_will_stay_for_two_days.png,5,
How much is it overnight,တစ်ညဘယ်လောက်လဲ။,how_much_is_it_overnight.png,6,
Is breakfast included,မနက်စာပါဝင်ပါသလား,is_breakfast_included.png,7,
What time is checkout,ငွေရှင်းချိန်က ဘယ်နှနာရီလဲ။,what_time_is_checkout.png,8,
There is no hot water,ရေပူ မရှိပါဘူး,there_is_no_hot_water.png,9,
Air conditioner does not attach,လေအေးပေးစက် မတွဲပါဘူး။,air_conditioner_does_not_attach.png,10,
The toilet does not flow,အိမ်သာက မစီးဘူး။,the_toilet_does_not_flow.png,11,
I forgot my room key in the room,အခန်းသော့ကို အခန်းထဲမှာ မေ့သွားတယ်။,i_forgot_my_room_key_in_the_room.png,12,
Can you keep my luggage,ငါ့အထုပ်အပိုးကို သိမ်းထားနိုင်မလား။,can_you_keep_my_luggage.png,13,
Room key,အခန်းသော့,room_key.png,14,
Wifi password,Wifi စကားဝှက်,wifi_password.png,15,
Cleaning,သန့်ရှင်းရေး,cleaning.png,16,
Cleaning service,သန့်ရှင်းရေးဝန်ဆောင်မှု,cleaning_service.png,17,
Iron,သံ,iron.png,18,
Mineral water,ဓာတ်သတ္တုရေ,mineral_water.png,19,
Blanket,စောင်,blanket.png,20,
Towel,မျက်နှာသုတ်ပုဝါ,towel.png,21,
Dryer,လေမှုတ်စက်,dryer.png,22,
